X,Y,Z,ROTW,ROTX,ROTY,ROTZ
0.004398006,-0.1399365,2.047604,-0.01298661,-0.006007219,0.9994843,0.0287455
0.0008883593,0.1711725,2.06556,-0.01514458,-0.00606927,0.999454,0.02873247
-0.002506523,0.4705747,2.070227,-0.01713277,-0.005558762,0.9998082,-0.007694256
-0.01300264,0.6279935,2.055673,0,0,0,0
-0.1775797,0.3478908,2.05025,-0.05645261,0.7961703,-0.6020818,0.02057633
-0.2115006,0.08213978,2.030008,-0.06529104,0.8501666,-0.03421581,-0.5213282
-0.1933302,-0.1795193,1.908535,-0.1948288,0.7995424,-0.09709188,0.559774
-0.1882936,-0.2156349,1.893577,-0.1957227,0.7968713,-0.05944369,0.5684674
0.1732151,0.3607186,2.038474,-0.07703691,0.773467,0.6272091,-0.04922183
0.2602214,0.1435318,2.017151,-0.1790247,0.5859628,0.0756604,0.786685
0.3735555,0.05080726,1.782182,-0.5007452,0.815006,0.2860042,-0.05675438
0.4120813,0.04227217,1.72738,-0.5395359,0.75046,0.3817145,-0.002243803
-0.07611725,-0.1403343,2.012579,-0.1634879,0.697701,-0.686299,0.1244138
-0.1506359,-0.4403661,1.832384,0.2254034,-0.4795859,-0.1730755,0.8302022
-0.07923248,-0.5523281,1.945825,-0.379636,-0.47285,0.1880026,0.7726217
-0.09072619,-0.6426026,1.912176,0,0,0,0
0.08476171,-0.1344841,2.008674,-0.1794892,0.6712732,0.7058727,-0.1375489
0.1738604,-0.4143859,1.798905,-0.2809176,0.5262703,-0.1826435,0.7815153
0.1127817,-0.5552713,1.951652,0.3583701,0.5494088,0.2152557,0.7234542
0.1210596,-0.679323,1.892137,0,0,0,0
-0.001672549,0.3972975,2.071341,-0.01725896,-0.005880643,0.9997534,0.01267819
-0.185808,-0.2694423,1.88051,0,0,0,0
-0.1535393,-0.212979,1.869581,0,0,0,0
0.4550688,0.04340278,1.682611,0,0,0,0
0.3830301,0.07750514,1.683348,0,0,0,0
0.009155385,-0.1312962,2.005873,-0.008487597,-0.01191699,0.9965924,0.08117607
0.002244413,0.1734188,2.055911,-0.01333982,-0.01231208,0.9965392,0.08111709
-0.002461428,0.4705939,2.070303,-0.01751161,-0.006232137,0.9998162,-0.004695042
-0.01302243,0.6279644,2.055733,0,0,0,0
-0.1775787,0.3479002,2.050283,-0.06742779,0.796598,-0.6007227,0.004157117
-0.2115454,0.08196443,2.030061,-0.06530605,0.8494586,-0.03419517,-0.5224804
-0.1952171,-0.1652904,1.916281,-0.1937357,0.8062393,-0.0952166,0.550798
-0.1871588,-0.2135903,1.895808,-0.2061669,0.7998921,-0.04979591,0.5614162
0.1731807,0.3607244,2.038434,-0.08870317,0.7746204,0.6252785,-0.03349266
0.2611489,0.1430272,2.016149,-0.1814161,0.5845723,0.07469819,0.7872635
0.3739786,0.05382071,1.782414,-0.4961949,0.8101149,0.3021077,-0.07896549
0.4167886,0.05355163,1.724668,-0.5640034,0.7084115,0.4242977,-0.004980819
-0.07146136,-0.1316978,1.969963,-0.2007786,0.7026898,-0.6763229,0.09220838
-0.160907,-0.4677512,1.878666,0.1632897,-0.3398748,-0.07743332,0.922944
-0.07935104,-0.552029,1.945427,-0.4220146,-0.3979508,0.09820972,0.8086369
-0.1016539,-0.6394488,1.897714,0,0,0,0
0.08943842,-0.1260529,1.967813,-0.2080145,0.6779731,0.6972702,-0.1043871
0.1726212,-0.4638308,1.877043,-0.1609356,0.4200782,-0.06583165,0.890674
0.1127939,-0.5552487,1.951724,0.3324496,0.2997398,0.20997,0.8692215
0.1481602,-0.6367515,1.938258,0,0,0,0
-0.001537643,0.39744,2.070974,-0.01787762,-0.009025077,0.9992413,0.03340213
-0.1841167,-0.268402,1.880093,0,0,0,0
-0.1523259,-0.2126951,1.870024,0,0,0,0
0.4630993,0.05018353,1.675725,0,0,0,0
0.3886473,0.09085678,1.679,0,0,0,0
0.008939294,-0.1399845,2.000613,-0.02331472,-0.01134713,0.9965442,0.07891273
0.002973524,0.1710569,2.05033,-0.02113061,-0.01117415,0.9965929,0.07893742
-0.002303301,0.4707426,2.070729,-0.01813228,-0.007108624,0.99981,-0.0007765962
-0.01325373,0.6281564,2.056527,0,0,0,0
-0.1779204,0.3474208,2.050665,-0.07275847,0.7971646,-0.5993345,-0.005732961
-0.2108382,0.08272749,2.031023,-0.06411774,0.842595,-0.03242054,-0.5337336
-0.1971017,-0.1502713,1.923123,-0.1937585,0.8109568,-0.09692351,0.5435187
-0.1870961,-0.2074533,1.898643,-0.2098544,0.8031619,-0.0463139,0.5556503
0.1731379,0.3605839,2.03858,-0.09494031,0.7753929,0.6238142,-0.02465716
0.2717441,0.1234647,1.996537,-0.2054332,0.5735745,0.04680318,0.7915927
0.3736397,0.06034384,1.786206,-0.5199185,0.7904676,0.3151454,-0.07435783
0.4214365,0.05789149,1.719746,-0.5593033,0.7175362,0.4149795,-0.01065686
-0.07169223,-0.1397602,1.966759,-0.1926589,0.7009575,-0.6812968,0.08588392
-0.08801249,-0.4599872,1.917687,0.06961215,-0.6684985,-0.03936422,0.7394014
-0.05429707,-0.7284673,2.001973,-0.1474319,-0.6789373,0.06787749,0.7160311
-0.08866137,-0.5987104,1.907292,0,0,0,0
0.08924782,-0.1352054,1.95961,-0.215904,0.6782286,0.6927112,-0.1163739
0.1242688,-0.4535485,1.93124,-0.06970962,0.7200742,0.008803566,0.6903306
0.1027131,-0.7277905,2.002507,0.1094747,0.6251113,0.074047,0.7692648
0.1195518,-0.8380511,1.910955,0,0,0,0
-0.001259758,0.3974815,2.070824,-0.01860987,-0.01015711,0.9987651,0.04492953
-0.1817603,-0.269788,1.878254,0,0,0,0
-0.1528544,-0.2119581,1.869526,0,0,0,0
0.4668114,0.04985555,1.65744,0,0,0,0
0.3864886,0.09246279,1.682883,0,0,0,0
0.008710924,-0.1423763,1.999498,-0.02888767,-0.01112516,0.9964901,0.0777776
0.00311145,0.1704505,2.048799,-0.02466657,-0.01079562,0.9966034,0.07782401
-0.002128876,0.4710482,2.071308,-0.0196246,-0.006750256,0.9997816,0.002443809
-0.01373181,0.6284288,2.057493,0,0,0,0
-0.1783702,0.3467151,2.051569,-0.07301266,0.7982135,-0.5978472,-0.01014531
-0.2103808,0.08788202,2.032799,-0.06334163,0.8408911,-0.03237885,-0.5365089
-0.1976514,-0.1447365,1.926394,-0.1883815,0.7978544,-0.1019061,0.5635211
-0.1852854,-0.205187,1.900678,-0.214936,0.7857112,-0.04056642,0.5786318
0.1730724,0.3604711,2.038583,-0.09701614,0.7759197,0.6229183,-0.02256969
0.2705108,0.1235393,1.998538,-0.202091,0.57009,0.04779482,0.794904
0.3733205,0.06267311,1.788525,-0.5257166,0.7885728,0.3125182,-0.06408861
0.421126,0.05426797,1.722493,-0.5388224,0.7424489,0.3979823,-0.007082548
-0.07191833,-0.1422814,1.966363,-0.1891931,0.7017065,-0.681726,0.08404594
-0.08696871,-0.4466847,1.918604,0.07041664,-0.6715968,-0.04089291,0.7364286
-0.05456091,-0.730671,2.004044,-0.1393355,-0.6765899,0.06796645,0.7198558
-0.08697858,-0.6019924,1.905539,0,0,0,0
0.0890176,-0.1373775,1.957453,-0.2188931,0.6767241,0.6925438,-0.1204711
0.1238336,-0.4400303,1.93144,-0.07022066,0.7238532,0.0120799,0.6862651
0.1002779,-0.7286266,2.005882,0.1097097,0.6215934,0.07291209,0.7721847
0.1182227,-0.8383524,1.91298,0,0,0,0
-0.001144543,0.3976071,2.07093,-0.02009878,-0.01030841,0.9985756,0.04833722
-0.1785934,-0.271044,1.878912,0,0,0,0
-0.144053,-0.2026596,1.877429,0,0,0,0
0.4657428,0.04295052,1.655492,0,0,0,0
0.3863307,0.08704181,1.683079,0,0,0,0
0.008547937,-0.1441833,1.998477,-0.03263049,-0.0109129,0.9964231,0.07718188
0.003234664,0.1699079,2.047609,-0.02723757,-0.01049505,0.9965852,0.07723982
-0.00196427,0.4712477,2.071767,-0.02102738,-0.006518768,0.9997441,0.005209351
-0.01418973,0.6286223,2.05835,0,0,0,0
-0.1787352,0.3461957,2.052245,-0.07317089,0.7989017,-0.5968405,-0.01354511
-0.2101261,0.09054051,2.034194,-0.06241797,0.8392636,-0.03232939,-0.5391617
-0.1975254,-0.1441251,1.9268,-0.1871217,0.7919922,-0.1042892,0.5717145
-0.1849662,-0.2042148,1.899939,-0.2223016,0.7779719,-0.04692388,0.5857815
0.1728892,0.3601787,2.038383,-0.09892899,0.7766713,0.6217225,-0.02135351
0.2693658,0.1235998,2.002154,-0.1969561,0.5705729,0.05302104,0.7955146
0.3724973,0.06223217,1.790953,-0.5292745,0.7894758,0.3058655,-0.05516014
0.4165656,0.04403344,1.724674,-0.5117157,0.7817795,0.3559473,-0.0164141
-0.07208393,-0.1440682,1.965855,-0.1869442,0.7018014,-0.6824321,0.08254202
-0.08677332,-0.4429758,1.918825,0.07039771,-0.6705966,-0.04124852,0.7373215
-0.0252917,-0.7369109,1.989286,-0.1525085,-0.6702766,0.01651902,0.7260838
-0.07950276,-0.6092886,1.903867,0,0,0,0
0.08886814,-0.1390507,1.955743,-0.220934,0.6757993,0.6923511,-0.123018
0.1241774,-0.4390306,1.931663,-0.06903759,0.7264981,0.01524523,0.6835216
0.09957524,-0.7364216,2.008082,0.1097275,0.6203949,0.07238449,0.773195
0.118363,-0.8449563,1.912738,0,0,0,0
-0.001021382,0.3976818,2.07098,-0.02149056,-0.01040227,0.9984191,0.0508842
-0.1792151,-0.2700786,1.87703,0,0,0,0
