X,Y,Z,ROTW,ROTX,ROTY,ROTZ
0.01488585,0.05045192,2.020297,-0.02748435,-0.0122526,0.9993325,0.02071313
0.007344187,0.3730573,2.033885,-0.0272645,-0.01224805,0.9993385,0.02071582
3.861678E-05,0.6814825,2.034892,-0.02662913,-0.01160549,0.9994906,-0.01322523
-0.01720873,0.8276973,2.020965,0,0,0,0
-0.1774733,0.5523621,2.029843,-0.02297707,0.8024192,-0.5963182,0.0003675972
-0.228863,0.3053164,2.048703,-0.02787876,0.8143097,-0.1051818,-0.5701397
-0.2384626,0.09011884,1.971983,0.1319051,-0.6731321,-0.1097756,0.7193354
-0.2230321,0.01919233,1.946756,-0.04743048,0.6986597,0.1904127,-0.6880175
0.1731216,0.5580034,2.011221,-0.05653542,0.7952047,0.6021205,-0.04363602
0.2477625,0.305321,2.044755,-0.03976222,0.7680181,0.1507968,0.6211503
0.280885,0.09772871,1.954327,-0.2024783,0.9765071,0.07370654,0.001949231
0.2849703,0.01422034,1.910443,-0.2390819,0.9705824,0.02543121,-0.01276168
-0.06593962,0.04821485,1.986097,-0.1551238,0.7049738,-0.6805848,0.1255096
-0.08856181,-0.3284611,1.991796,0.01657003,-0.6875013,0.02610807,0.7255246
-0.08553832,-0.6922578,2.039502,-0.04278917,-0.60512,0.04929794,0.7934536
-0.1132813,-0.7680664,1.945313,0,0,0,0
0.09515732,0.05076018,1.977248,-0.1815702,0.686832,0.6846345,-0.1630024
0.1232204,-0.3421885,1.99756,-0.005759459,0.7255606,0.04357327,0.6867532
0.1263546,-0.7032127,2.029626,0.02534833,0.6463709,0.03656112,0.7617252
0.144165,-0.7714844,1.930664,0,0,0,0
0.001837357,0.606279,2.036834,-0.02687059,-0.01196843,0.9995492,0.006001659
-0.2330659,-0.06012081,1.922385,0,0,0,0
-0.2618111,-0.003557163,1.930714,0,0,0,0
0.2870465,-0.05766558,1.891365,0,0,0,0
0.2799215,0.01338731,1.869936,0,0,0,0
0.01488402,0.05026086,2.020257,-0.02750176,-0.01223541,0.9993317,0.02073747
0.007350847,0.3730063,2.033866,-0.02725503,-0.01223029,0.9993385,0.02074049
4.696551E-05,0.6814856,2.03488,-0.02659203,-0.01159944,0.9994915,-0.01323277
-0.01721577,0.8277078,2.020975,0,0,0,0
-0.1774543,0.5523776,2.029825,-0.02299678,0.8023933,-0.5963523,0.000377891
-0.229011,0.3053305,2.048708,-0.02837177,0.8124227,-0.1053765,-0.5727654
-0.2391793,0.09069529,1.971572,0.1344951,-0.6781517,-0.1088198,0.7142686
-0.2259132,0.01851644,1.946263,-0.0573219,0.7003468,0.1783791,-0.6887739
0.1731268,0.5579996,2.011229,-0.05651074,0.7952082,0.6021219,-0.04358566
0.247762,0.3053218,2.044761,-0.03975572,0.7680368,0.1507896,0.6211292
0.2808613,0.09777749,1.954331,-0.2096238,0.9698639,0.05001302,0.113669
0.28481,0.01455289,1.9098,-0.2439591,0.964797,-0.003166336,0.09818725
-0.06594289,0.04805303,1.986055,-0.1551649,0.7048602,-0.680698,0.1254838
-0.08886659,-0.3301968,1.992162,0.01641803,-0.6875015,0.02666394,0.7255076
-0.08576915,-0.6928171,2.039725,-0.04296615,-0.6063635,0.04917225,0.7925019
-0.1131954,-0.7681351,1.945312,0,0,0,0
0.09515704,0.05054485,1.977198,-0.1815957,0.6869216,0.6845304,-0.1630337
0.1238523,-0.3419332,1.997062,-0.006729382,0.7255745,0.04381595,0.6867143
0.1263648,-0.7031364,2.029632,0.02642784,0.6461517,0.03652161,0.7618764
0.1441361,-0.7714347,1.930664,0,0,0,0
0.001844945,0.6062742,2.036824,-0.02683374,-0.01196433,0.9995502,0.00601884
-0.23768,-0.05982944,1.920121,0,0,0,0
-0.2663299,0.03489311,1.943091,0,0,0,0
0.2878524,-0.05691544,1.891193,0,0,0,0
0.2916259,0.01374549,1.867616,0,0,0,0
0.01489485,0.05019792,2.020211,-0.02769847,-0.01226184,0.9993254,0.02076449
0.007346767,0.3729854,2.033842,-0.02730824,-0.01225373,0.9993361,0.02076928
3.543033E-05,0.6814874,2.034864,-0.02649784,-0.01161211,0.999494,-0.0132249
-0.01726084,0.8277492,2.020948,0,0,0,0
-0.1774216,0.5524244,2.029742,-0.02313715,0.8023364,-0.5964233,0.0004976573
-0.2294697,0.3051055,2.048711,-0.02944077,0.8086278,-0.1059388,-0.5779543
-0.2412806,0.09237907,1.972357,0.1267586,-0.6091844,-0.1181911,0.7738589
-0.23211,0.01829808,1.945572,0.063682,-0.6247115,-0.1699699,0.7594672
0.1731162,0.5580011,2.011212,-0.05653719,0.7952039,0.6021275,-0.04355199
0.2477572,0.305302,2.044843,-0.03967007,0.7677884,0.1508834,0.621419
0.2808979,0.09772577,1.954241,-0.2074893,0.9739086,0.05938047,0.07017312
0.2849675,0.01554444,1.911387,-0.2387506,0.9694425,0.008912614,0.0556771
-0.06593543,0.04801143,1.986034,-0.1551136,0.7047991,-0.6807982,0.1253472
-0.0887838,-0.3306521,1.992223,0.01625887,-0.6873651,0.02664214,0.7256412
-0.08578528,-0.6927744,2.039799,-0.0429627,-0.6069164,0.04930614,0.7920704
-0.113067,-0.7682605,1.945442,0,0,0,0
0.09517124,0.05045838,1.977111,-0.1817095,0.6869814,0.6844056,-0.1631784
0.124052,-0.3419123,1.996644,-0.007190485,0.725711,0.04371111,0.686572
