X,Y,Z,ROTW,ROTX,ROTY,ROTZ
-0.03033216,-0.1354343,1.896551,0.02166477,-0.02133291,0.9994559,-0.01278616
-0.04420366,0.1937366,1.887823,0.02031395,-0.02131561,0.9994842,-0.01281498
-0.05720777,0.5088779,1.864961,0.01973379,-0.02125664,0.9982425,-0.05167855
-0.07361725,0.660858,1.843022,0,0,0,0
-0.2334564,0.3866622,1.855576,-0.01652204,0.7867499,-0.6145808,0.05515541
-0.3009478,0.1192082,1.849533,-0.0764199,0.8320311,-0.09733455,-0.5407497
-0.3198352,-0.09764874,1.766038,-0.1288302,0.8175445,-0.1353807,0.5446979
-0.3252449,-0.1607287,1.74126,-0.1319583,0.8169074,-0.1366707,0.5445828
0.1223129,0.4029722,1.869469,0.009369763,0.7619153,0.647074,-0.02631709
0.199494,0.1450752,1.888842,-0.0529754,0.8109393,0.1393561,0.5658188
0.2233156,-0.07011478,1.801531,-0.1786221,0.743545,-0.08483496,0.6387784
0.2063866,-0.1446116,1.773427,-0.06579884,0.7462776,-0.1951461,0.6329756
-0.1114892,-0.1364488,1.854531,-0.1650184,0.6904932,-0.6835341,0.1696145
-0.1492278,-0.4456001,1.768143,0.1376537,-0.7042329,-0.05284772,0.6944886
-0.1698168,-0.8748364,1.791474,0.001002608,-0.640217,0.03616139,0.7673419
-0.1894531,-0.956543,1.708984,0,0,0,0
0.05204829,-0.1289183,1.861526,-0.1314483,0.6643131,0.7204307,-0.1496294
0.1127318,-0.4575018,1.789657,-0.1381089,0.6817499,-0.01528989,0.7182683
0.1307404,-0.8961502,1.795286,-0.01012411,0.7012321,0.01895783,0.7126089
0.1338958,-0.9252582,1.671926,0,0,0,0
-0.05408299,0.4320128,1.873006,0.01931474,-0.02128339,0.9991177,-0.03062201
-0.3273959,-0.2274553,1.723442,0,0,0,0
-0.2939641,-0.1690094,1.707237,0,0,0,0
0.2184424,-0.2144582,1.739067,0,0,0,0
0.2521195,-0.154597,1.745789,0,0,0,0
-0.02860159,-0.1320002,1.853131,0.02016241,-0.02204769,0.9987975,0.03887156
-0.04356503,0.1947641,1.878314,0.01903643,-0.0220915,0.9988196,0.03884668
-0.05714163,0.5089215,1.865195,0.01982337,-0.02132844,0.9983701,-0.049085
-0.07350872,0.6609296,1.84319,0,0,0,0
-0.2334327,0.3866585,1.855608,-0.02768398,0.7877901,-0.6140241,0.03993485
-0.3006968,0.1188526,1.849865,-0.0754622,0.8331497,-0.09732684,-0.539161
-0.318879,-0.09818482,1.766371,-0.1369508,0.8469923,-0.126512,0.4978386
-0.318803,-0.1617875,1.746321,-0.1308511,0.8483939,-0.07753141,0.507045
0.122357,0.4029981,1.869546,-0.002354031,0.7623951,0.6470065,-0.01143589
0.1998044,0.1449447,1.888792,-0.05312176,0.8120899,0.139636,0.5640833
0.2233462,-0.07037215,1.801419,-0.1948863,0.891206,-0.03273288,0.408289
0.2073627,-0.1444577,1.770722,-0.1351575,0.8923579,-0.1694812,0.3958609
-0.1098633,-0.1332393,1.811087,-0.1963522,0.6985108,-0.6742961,0.1373075
-0.1486135,-0.444155,1.768021,-0.09191021,0.7138361,0.003567351,-0.6942461
-0.1701475,-0.8781329,1.790182,0.002673379,-0.6405427,0.03543332,0.7670999
-0.1893828,-0.9568645,1.709065,0,0,0,0
0.05384111,-0.1252681,1.818053,-0.1653775,0.6697432,0.714223,-0.1182362
0.1127097,-0.457945,1.789883,-0.09191364,0.6874282,0.03006013,0.7197853
0.1307142,-0.8965993,1.795744,-0.009934414,0.7012455,0.01914326,0.7125936
0.1337915,-0.9240175,1.672509,0,0,0,0
-0.05400128,0.4320941,1.872833,0.01899901,-0.02218175,0.9995117,-0.01111675
-0.3200551,-0.2290582,1.729111,0,0,0,0
-0.2892578,-0.1716519,1.70969,0,0,0,0
0.2194413,-0.2125387,1.734416,0,0,0,0
0.2369216,-0.1501773,1.725942,0,0,0,0
-0.02629658,-0.1327475,1.851312,0.0139445,-0.02248963,0.9990433,0.03481771
-0.04137057,0.1944817,1.873949,0.0160153,-0.02241742,0.9990123,0.03486425
-0.05669312,0.5088456,1.865656,0.02010427,-0.02190229,0.9985659,-0.04452182
-0.07320707,0.6610622,1.843818,0,0,0,0
-0.2332645,0.3866229,1.855715,-0.03207161,0.7879577,-0.6140277,0.0326187
-0.2975934,0.1202833,1.853077,-0.06808142,0.8348366,-0.09676256,-0.5376334
-0.313173,-0.09735005,1.771641,-0.1309344,0.8263803,-0.1249625,0.5332317
-0.3105621,-0.1621044,1.750688,-0.1406068,0.8236883,-0.06974486,0.544888
0.122824,0.4026167,1.869752,-0.006935031,0.7630786,0.6462556,-0.004081407
0.2000511,0.144937,1.889074,-0.05281062,0.8122703,0.1396041,0.5638606
0.223206,-0.07001871,1.801457,-0.1956314,0.8955234,-0.03162503,0.3984546
0.208284,-0.1403208,1.771498,-0.1424742,0.8962933,-0.1680842,0.3848467
-0.1079709,-0.1336752,1.81014,-0.190779,0.6975835,-0.6771504,0.1358237
-0.1490455,-0.5259247,1.775498,-0.06770805,0.7128916,-0.006473853,-0.6979679
-0.1692959,-0.8953312,1.788552,0.00974613,-0.6394298,0.03106631,0.7681597
-0.1878977,-0.9597883,1.708794,0,0,0,0
0.05654611,-0.1263815,1.814992,-0.166021,0.6702957,0.712418,-0.1249054
0.1082934,-0.530827,1.798237,-0.0599344,0.6947528,0.0294793,0.7161406
0.1320203,-0.9113544,1.79974,-0.02027202,0.7170783,0.02370787,0.6962943
0.133284,-0.9661787,1.727156,0,0,0,0
