X,Y,Z,ROTW,ROTX,ROTY,ROTZ
-0.01539735,0.09560835,1.728188,-0.01438593,-0.04328788,0.9974393,-0.05508305
-0.04295523,0.4059075,1.694144,-0.01322938,-0.04335172,0.9974552,-0.05503283
-0.06906677,0.7005163,1.648511,-0.01036074,-0.04260312,0.99476,-0.09235862
-0.08775198,0.8073639,1.612644,0,0,0,0
-0.2356951,0.5857125,1.646844,0.007806862,0.7841623,-0.6155693,0.0781218
-0.2951419,0.3370201,1.680115,0.001566328,0.8704687,-0.1332779,-0.4738342
-0.2892533,0.1137112,1.621207,-0.1188904,0.8692521,-0.05060459,0.4771846
-0.2825333,0.03938948,1.607393,-0.1015853,0.8696961,-0.005508998,0.4829895
0.1069904,0.5864009,1.641318,-0.00285897,0.7827145,0.6156774,-0.09105627
0.213108,0.3537269,1.749702,0.04580497,0.7720191,0.281154,0.5681909
0.2691649,0.1326108,1.737179,-0.08821327,0.8456072,0.09099343,0.5185432
0.2769765,0.07423016,1.726766,-0.1089251,0.8508009,0.01094978,0.5139586
-0.09393276,0.0934514,1.693356,-0.1231607,0.6953841,-0.687228,0.1702647
-0.05073924,-0.3293501,1.706997,-0.04771528,-0.694581,-0.02383726,0.7174344
-0.05051901,-0.6759096,1.761944,-0.03710681,-0.4674753,0.069221,0.8805102
-0.09155273,-0.7358398,1.709961,0,0,0,0
0.06380627,0.09369911,1.689521,-0.110434,0.6837221,0.6906344,-0.2082124
0.07182759,-0.3147092,1.628846,-0.05996059,0.7205701,-0.04388801,0.6893891
0.05926483,-0.6404717,1.570253,-0.05004112,0.7106758,-0.07580692,0.6976311
0.05612064,-0.6633388,1.461555,0,0,0,0
-0.06273879,0.6290176,1.661862,-0.01128426,-0.04305244,0.9964061,-0.07206924
-0.2712862,-0.03211293,1.593738,0,0,0,0
-0.2431626,0.01289265,1.580143,0,0,0,0
0.2903776,0.002493472,1.714036,0,0,0,0
0.3049716,0.05617938,1.696069,0,0,0,0
-0.01598178,0.09513515,1.734539,-0.01230327,-0.04333844,0.9974154,-0.05597218
-0.04356831,0.4060768,1.699804,-0.01086948,-0.04341885,0.9974321,-0.05590982
-0.06970646,0.7012795,1.653564,-0.007737944,-0.04278611,0.9947122,-0.09304402
-0.08792972,0.8081648,1.615188,0,0,0,0
-0.235609,0.5865883,1.651283,0.006762553,0.7837627,-0.6157858,0.08048677
-0.2961187,0.3367866,1.682635,-0.002242393,0.8722056,-0.1327549,-0.4707744
-0.2913479,0.1132596,1.623847,-0.1132131,0.8318495,-0.06107338,0.5398881
-0.28791,0.04087565,1.614488,-0.06665917,0.8359955,-0.01527252,0.5444583
0.1063799,0.5868913,1.647617,-0.0004328713,0.7831979,0.615348,-0.08914989
0.2120117,0.3546494,1.756768,0.0467943,0.7703088,0.2817118,0.5701519
0.2690007,0.1336117,1.746609,-0.08172636,0.8617171,0.09814699,0.4910516
0.2799588,0.07535654,1.74887,-0.02975229,0.8624729,0.08994243,0.4971577
-0.09448175,0.09312722,1.699321,-0.1243112,0.6943145,-0.6876635,0.1720262
-0.05569076,-0.3247617,1.716397,-0.0473345,-0.6963234,-0.01764569,0.7159482
-0.05060513,-0.6734255,1.763954,-0.03796556,-0.4648981,0.05654654,0.8827406
-0.09102193,-0.7352736,1.711659,0,0,0,0
0.06320776,0.09310037,1.696191,-0.1086829,0.6843743,0.6903824,-0.2078266
0.07229462,-0.3154323,1.630045,-0.0654546,0.7190639,-0.04756491,0.6902177
0.05979715,-0.6406578,1.571922,-0.04954661,0.7093673,-0.07546878,0.6990334
0.05705302,-0.6635805,1.463198,0,0,0,0
